,ACCOUNTNO,des_all,count
571,010260437,['2 Story'],1
572,010260438,['2 Story'],1
573,010260439,['Ranch 1 Story'],1
574,010260440,['Ranch 1 Story'],1
575,010260441,['Ranch 1 Story'],1
576,010260442,['Ranch 1 Story'],1
577,010260443,['Ranch 1 Story'],1
578,010260444,[nan],1
579,010270001,['Bi Level'],1
580,010270002,['Bi Level'],1
581,010270003,['Bi Level'],1
582,010270004,['Bi Level'],1
583,010270005,['2 Story'],1
584,010270006,['Ranch 1 Story'],1
585,010270007,['Ranch 1 Story'],1
586,010270008,['Bi Level'],1
587,010270009,['Ranch 1 Story'],1
588,010270010,['2 Story'],1
589,010270011,['Bi Level'],1
590,010270012,['Bi Level'],1
591,010270013,['Bi Level'],1
592,010270014,['Bi Level'],1
593,010270015,['Bi Level'],1
594,010270016,['Ranch 1 Story'],1
595,010270017,['Bi Level'],1
596,010270021,['Ranch 1 Story'],1
597,010270022,['Bi Level'],1
598,010270023,['Ranch 1 Story'],1
599,010270024,['Bi Level'],1
600,010270025,['2 Story'],1
601,010270026,['2 Story'],1
602,010270027,['Ranch 1 Story'],1
603,010270028,['Bi Level'],1
604,010270029,['Bi Level'],1
605,010270030,['Bi Level'],1
606,010270031,['Ranch 1 Story'],1
607,010270032,['2 Story'],1
608,010270033,['Ranch 1 Story'],1
609,010270034,['Ranch 1 Story'],1
610,010270035,['Ranch 1 Story'],1
611,010270036,['Bi Level'],1
612,010270037,['Bi Level'],1
613,010270038,['Bi Level'],1
614,010270039,['Bi Level'],1
615,010270040,['Ranch 1 Story'],1
616,010270041,['Ranch 1 Story'],1
617,010270042,['Ranch 1 Story'],1
618,010270043,['Ranch 1 Story'],1
619,010270044,['Ranch 1 Story'],1
620,010270045,['Ranch 1 Story'],1
621,010270046,['Ranch 1 Story'],1
622,010270048,['2 Story'],1
623,010270049,['Ranch 1 Story'],1
624,010270050,['Ranch 1 Story'],1
625,010270052,['Ranch 1 Story'],1
626,010270053,['Bi Level'],1
627,010270054,['Ranch 1 Story'],1
628,010270056,['Ranch 1 Story'],1
629,010280001,['Ranch 1 Story'],1
630,010280002,['Ranch 1 Story'],1
631,010280004,['2 Story'],1
632,010280005,['Bi Level'],1
633,010280008,['Ranch 1 Story'],1
634,010280009,['Ranch 1 Story'],1
635,010280010,"['Barn', 'Ranch 1 Story', 'Barn']",3
636,010280011,"['Ranch 1 Story', 'Barn']",2
637,010280012,['Ranch 1 Story'],1
638,010280017,['Ranch 1 Story'],1
639,010280019,['Ranch 1 Story'],1
640,010280020,['2 Story'],1
641,010280022,['2 Story'],1
642,010280027,['Ranch 1 Story'],1
643,010280028,['Ranch 1 Story'],1
644,010280029,['2 Story Split'],1
645,010280030,['Ranch 1 Story'],1
646,010280031,['Ranch 1 Story'],1
647,010280032,['Ranch 1 Story'],1
648,010280035,['Church'],1
649,010280037,[nan],1
650,010280038,['Ranch 1 Story'],1
651,010280039,['Ranch 1 Story'],1
652,010280040,['Ranch 1 Story'],1
653,010280041,['Ranch 1 Story'],1
654,010280042,['Ranch 1 Story'],1
655,010280043,['Ranch 1 Story'],1
656,010280044,['Ranch 1 Story'],1
657,010280045,['Ranch 1 Story'],1
658,010280046,['Ranch 1 Story'],1
659,010280047,[nan],1
660,010280053,['Ranch 1 Story'],1
661,010280054,['Split Level'],1
662,010280055,['Bi Level'],1
663,010280056,['Ranch 1 Story'],1
664,010280058,['Ranch 1 Story'],1
665,010280059,['Ranch 1 Story'],1
666,010280060,['Ranch 1 Story'],1
667,010280061,['Bi Level'],1
668,010280063,[nan],1
669,010280064,['Bi Level'],1
670,010280065,['Ranch 1 Story'],1
671,010280066,['Ranch 1 Story'],1
672,010280070,['2 Story'],1
673,010280071,[nan],1
674,010280072,[nan],1
675,010280073,[nan],1
676,010280074,[nan],1
677,010280075,[nan],1
678,010280076,[nan],1
679,010280077,[nan],1
680,010280078,[nan],1
681,010280079,[nan],1
682,010280081,['Ranch 1 Story'],1
683,010280085,['Ranch 1 Story'],1
684,010280097,['Ranch 1 Story'],1
685,010280098,"['Ranch 1 Story', 'Barn']",2
686,010280104,['Ranch 1 Story'],1
687,010280105,['Ranch 1 Story'],1
688,010280107,[nan],1
689,010280108,['Ranch 1 Story'],1
690,010280111,['Ranch 1 Story'],1
691,010280113,[nan],1
692,010280115,['Ranch 1 Story'],1
693,010280116,['2 Story'],1
694,010290005,['Ranch 1 Story'],1
695,010290007,['Ranch 1 Story'],1
696,010290008,['Bi Level'],1
697,010290009,['Ranch 1 Story'],1
698,010290013,['2 Story'],1
699,010290015,['Ranch 1 Story'],1
700,010300001,['Ranch 1 Story'],1
701,010300002,['Ranch 1 Story'],1
702,010300003,['Ranch 1 Story'],1
703,010300004,['Split Level'],1
704,010300005,['Ranch 1 Story'],1
705,010300006,['Bi Level'],1
706,010300008,['Ranch 1 Story'],1
707,010300009,['Ranch 1 Story'],1
708,010300012,['Ranch 1 Story'],1
709,010300013,['Ranch 1 Story'],1
710,010300017,['Ranch 1 Story'],1
711,010300018,['Ranch 1 Story'],1
712,010300019,['Ranch 1 Story'],1
713,010300020,['2 Story'],1
714,010300022,['Ranch 1 Story'],1
715,010300023,['Ranch 1 Story'],1
716,010300024,['Ranch 1 Story'],1
717,010300028,['Ranch 1 Story'],1
718,010300030,['Ranch 1 Story'],1
719,010300034,['Ranch 1 Story'],1
720,010300035,['Ranch 1 Story'],1
721,010300036,['Ranch 1 Story'],1
722,010310001,['2 Story'],1
723,010310002,['2 Story'],1
724,010310003,[nan],1
725,010310004,['Bi Level'],1
726,010310005,['2 Story'],1
727,010310006,['Ranch 1 Story'],1
728,010310007,['2 Story'],1
729,010310008,['2 Story'],1
730,010310009,['Ranch 1 Story'],1
731,010310010,['2 Story'],1
732,010310011,['Ranch 1 Story'],1
733,010310014,['Bi Level'],1
734,010310015,[nan],1
735,010310016,['Split Level'],1
736,010310017,['Ranch 1 Story'],1
737,010310018,['Bi Level'],1
738,010310019,['Bi Level'],1
