ACCOUNTNO,des_all,count,class,notes
110500020,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",9,apartment,
110640175,"['Storage Warehouse', 'Greenhouse Shade Shelters', 'Greenhouse Shade Shelters', 'Greenhouse Shade Shelters', 'Greenhouse Shade Shelters', 'Greenhouse Shade Shelters', 'Greenhouse Shade Shelters', 'Greenhouse Shade Shelters', 'Greenhouse Shade Shelters']",9,retail,
130330102,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Mini Warehouse', 'Multiple - Residential']",9,industrial,
140010073,"['Multipurpose Buildings', 'Shed - Equipment or Garage', 'Governmental-Community Service Buildings', 'Jails - Police Stations', 'Restroom Building/Concessions', 'Shed - Equipment or Garage', 'Restroom Building/Concessions', 'Fire Station Staffed', 'Restroom Building/Concessions']",9,government,
60310012,"['Retail Store', 'Horse Arena', 'Horse Arena', 'Retail Store', 'Stable', '2 Story COMM', 'Stable', 'Barn Commercial']",8,retail,
60500109,"['Office Building', 'Storage Warehouse', 'Indust Heavy Manufacturing', 'Office Building', 'Indust Heavy Manufacturing', 'Storage Warehouse', 'Indust Heavy Manufacturing', 'Indust Heavy Manufacturing']",8,industrial,
62310003,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Office-Apartment']",8,industrial,
80750050,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential']",8,apartment,
90220083,"['Laundromat', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",8,apartment,
90350048,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",8,apartment,
100690047,"['Office Building', 'Cold Storage Warehouse', 'Indust Lght Manufacturing', 'Indust Lght Manufacturing', 'Cold Storage Warehouse', 'Service Garage', 'Cold Storage Warehouse', 'Indust Lght Manufacturing']",8,industrial,
